DATE,WPSFD49207
1999-01-01,131.7
1999-02-01,131.2
1999-03-01,131.5
1999-04-01,132.1
1999-05-01,132.3
1999-06-01,132.4
1999-07-01,132.7
1999-08-01,133.5
1999-09-01,134.5
1999-10-01,134.4
1999-11-01,134.9
1999-12-01,135.2
2000-01-01,135.2
2000-02-01,136.6
2000-03-01,137.3
2000-04-01,136.9
2000-05-01,137.0
2000-06-01,138.1
2000-07-01,138.2
2000-08-01,137.9
2000-09-01,139.0
2000-10-01,139.5
2000-11-01,140.2
2000-12-01,140.5
2001-01-01,141.7
2001-02-01,141.9
2001-03-01,141.2
2001-04-01,142.0
2001-05-01,142.3
2001-06-01,141.8
2001-07-01,140.1
2001-08-01,140.7
2001-09-01,141.3
2001-10-01,139.0
2001-11-01,138.5
2001-12-01,138.0
2002-01-01,137.7
2002-02-01,138.0
2002-03-01,138.8
2002-04-01,138.7
2002-05-01,138.4
2002-06-01,138.8
2002-07-01,138.6
2002-08-01,138.7
2002-09-01,139.2
2002-10-01,140.0
2002-11-01,140.0
2002-12-01,139.7
2003-01-01,141.1
2003-02-01,142.7
2003-03-01,144.0
2003-04-01,142.2
2003-05-01,141.9
2003-06-01,142.7
2003-07-01,142.8
2003-08-01,143.7
2003-09-01,144.0
2003-10-01,144.8
2003-11-01,144.6
2003-12-01,145.1
2004-01-01,145.9
2004-02-01,145.8
2004-03-01,146.2
2004-04-01,147.2
2004-05-01,148.4
2004-06-01,148.4
2004-07-01,148.2
2004-08-01,148.6
2004-09-01,148.8
2004-10-01,151.2
2004-11-01,152.1
2004-12-01,151.4
2005-01-01,151.9
2005-02-01,152.7
2005-03-01,153.7
2005-04-01,154.2
2005-05-01,153.9
2005-06-01,153.9
2005-07-01,155.0
2005-08-01,156.3
2005-09-01,158.8
2005-10-01,160.5
2005-11-01,158.7
2005-12-01,159.6
2006-01-01,160.5
2006-02-01,158.7
2006-03-01,159.3
2006-04-01,160.6
2006-05-01,160.6
2006-06-01,161.4
2006-07-01,161.0
2006-08-01,162.1
2006-09-01,160.2
2006-10-01,158.7
2006-11-01,160.0
2006-12-01,161.1
2007-01-01,160.9
2007-02-01,162.7
2007-03-01,164.1
2007-04-01,165.3
2007-05-01,166.0
2007-06-01,166.1
2007-07-01,167.2
2007-08-01,166.0
2007-09-01,167.6
2007-10-01,169.3
2007-11-01,172.4
2007-12-01,171.7
2008-01-01,173.3
2008-02-01,173.9
2008-03-01,175.4
2008-04-01,175.9
2008-05-01,178.4
2008-06-01,181.2
2008-07-01,183.4
2008-08-01,182.0
2008-09-01,182.7
2008-10-01,178.3
2008-11-01,172.9
2008-12-01,169.7
2009-01-01,170.8
2009-02-01,170.6
2009-03-01,169.1
2009-04-01,170.0
2009-05-01,170.3
2009-06-01,173.5
2009-07-01,171.5
2009-08-01,173.9
2009-09-01,173.5
2009-10-01,174.3
2009-11-01,176.6
2009-12-01,177.1
2010-01-01,178.9
2010-02-01,177.7
2010-03-01,178.9
2010-04-01,178.9
2010-05-01,178.9
2010-06-01,178.3
2010-07-01,178.5
2010-08-01,179.5
2010-09-01,180.1
2010-10-01,181.6
2010-11-01,182.4
2010-12-01,184.0
2011-01-01,185.4
2011-02-01,187.4
2011-03-01,188.8
2011-04-01,190.5
2011-05-01,191.5
2011-06-01,190.8
2011-07-01,191.6
2011-08-01,191.1
2011-09-01,192.8
2011-10-01,192.4
2011-11-01,192.9
2011-12-01,192.7
2012-01-01,193.4
2012-02-01,193.9
2012-03-01,194.1
2012-04-01,194.0
2012-05-01,192.9
2012-06-01,192.1
2012-07-01,192.4
2012-08-01,194.7
2012-09-01,196.5
2012-10-01,196.7
2012-11-01,195.7
2012-12-01,195.3
2013-01-01,196.4
2013-02-01,197.6
2013-03-01,196.5
2013-04-01,195.3
2013-05-01,196.1
2013-06-01,196.2
2013-07-01,196.0
2013-08-01,197.0
2013-09-01,196.5
2013-10-01,196.9
2013-11-01,197.5
2013-12-01,198.3
2014-01-01,199.8
2014-02-01,200.2
2014-03-01,200.8
2014-04-01,201.7
2014-05-01,201.0
2014-06-01,201.5
2014-07-01,201.5
2014-08-01,201.4
2014-09-01,200.8
2014-10-01,200.2
2014-11-01,199.5
2014-12-01,196.8
2015-01-01,193.3
2015-02-01,193.5
2015-03-01,194.2
2015-04-01,192.9
2015-05-01,195.1
2015-06-01,196.2
2015-07-01,196.0
2015-08-01,195.3
2015-09-01,192.9
2015-10-01,192.4
2015-11-01,192.6
2015-12-01,191.3
2016-01-01,190.8
2016-02-01,189.4
2016-03-01,189.8
2016-04-01,190.4
2016-05-01,191.1
2016-06-01,192.4
2016-07-01,192.4
2016-08-01,191.8
2016-09-01,192.6
2016-10-01,193.7
2016-11-01,193.3
2016-12-01,195.0
2017-01-01,196.6
2017-02-01,197.2
2017-03-01,197.1
2017-04-01,198.1
2017-05-01,196.1
2017-06-01,196.2
2017-07-01,196.3
2017-08-01,197.4
2017-09-01,199.0
2017-10-01,199.6
2017-11-01,201.3
2017-12-01,201.8
2018-01-01,202.2
2018-02-01,202.8
2018-03-01,202.8
2018-04-01,202.8
2018-05-01,203.8
2018-06-01,204.0
2018-07-01,204.4
2018-08-01,204.6
2018-09-01,205.3
2018-10-01,206.9
2018-11-01,205.2
2018-12-01,204.4
2019-01-01,202.9
2019-02-01,203.7
2019-03-01,205.3
2019-04-01,207.0
2019-05-01,206.3
2019-06-01,205.2
2019-07-01,205.8
2019-08-01,205.3
2019-09-01,205.3
2019-10-01,206.6
2019-11-01,207.3
2019-12-01,208.5
